config_id,model,precision_preset,use_mixed_precision_opt,effective_preset,adc_bits_eff,dac_bits_eff,b_ref,adc_share,dac_share,constant_share,scaling_model,k,lat_ms_base,ene_mj_base,lat_ms_scaled,ene_mj_scaled,power_mw_scaled,tops_per_w_scaled
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.200,0.500,linear,0.300,1.872690,0.894196000,1.952948,0.958067143,490.574799,9.082020
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.200,0.500,exp,0.100,1.872690,0.894196000,1.899443,1.341294000,706.151331,6.309427
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.200,0.500,exp,0.200,1.872690,0.894196000,1.926195,1.341294000,696.343673,6.398292
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.200,0.500,exp,0.300,1.872690,0.894196000,1.952948,1.341294000,686.804719,6.487157
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.300,0.400,linear,0.100,1.872690,0.894196000,1.899443,0.970841371,511.119058,8.716971
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.300,0.400,linear,0.200,1.872690,0.894196000,1.926195,0.970841371,504.020182,8.839745
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.300,0.400,linear,0.300,1.872690,0.894196000,1.952948,0.970841371,497.115796,8.962519
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.300,0.400,exp,0.100,1.872690,0.894196000,1.899443,1.430713600,753.228086,5.915087
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.300,0.400,exp,0.200,1.872690,0.894196000,1.926195,1.430713600,742.766585,5.998399
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.300,0.300,0.400,exp,0.300,1.872690,0.894196000,1.952948,1.430713600,732.591700,6.081710
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.100,0.400,linear,0.100,1.872690,0.894196000,1.899443,0.970841371,511.119058,8.716971
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.100,0.400,linear,0.200,1.872690,0.894196000,1.926195,0.970841371,504.020182,8.839745
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.100,0.400,linear,0.300,1.872690,0.894196000,1.952948,0.970841371,497.115796,8.962519
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.100,0.400,exp,0.100,1.872690,0.894196000,1.899443,1.430713600,753.228086,5.915087
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.100,0.400,exp,0.200,1.872690,0.894196000,1.926195,1.430713600,742.766585,5.998399
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.100,0.400,exp,0.300,1.872690,0.894196000,1.952948,1.430713600,732.591700,6.081710
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.200,0.300,linear,0.100,1.872690,0.894196000,1.899443,0.983615600,517.844309,8.603764
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.200,0.300,linear,0.200,1.872690,0.894196000,1.926195,0.983615600,510.652027,8.724943
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.200,0.300,linear,0.300,1.872690,0.894196000,1.952948,0.983615600,503.656794,8.846123
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.200,0.300,exp,0.100,1.872690,0.894196000,1.899443,1.520133200,800.304841,5.567141
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.200,0.300,exp,0.200,1.872690,0.894196000,1.926195,1.520133200,789.189496,5.645552
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.200,0.300,exp,0.300,1.872690,0.894196000,1.952948,1.520133200,778.378681,5.723962
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.300,0.200,linear,0.100,1.872690,0.894196000,1.899443,0.996389829,524.569560,8.493459
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.300,0.200,linear,0.200,1.872690,0.894196000,1.926195,0.996389829,517.283872,8.613085
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.300,0.200,linear,0.300,1.872690,0.894196000,1.952948,0.996389829,510.197791,8.732711
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.300,0.200,exp,0.100,1.872690,0.894196000,1.899443,1.609552800,847.381597,5.257856
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.300,0.200,exp,0.200,1.872690,0.894196000,1.926195,1.609552800,835.612408,5.331910
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.500,0.300,0.200,exp,0.300,1.872690,0.894196000,1.952948,1.609552800,824.165663,5.405964
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.700,0.100,0.200,linear,0.100,1.872690,0.894196000,1.899443,0.996389829,524.569560,8.493459
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.700,0.100,0.200,linear,0.200,1.872690,0.894196000,1.926195,0.996389829,517.283872,8.613085
best_accuracy_swin,swin_t,conservative,1,conservative,8,8,7,0.700,0.100,0.200,linear,0.300,1.872690,0.894196000,1.952948,0.996389829,510.197791,8.732711
