config_id,model,bw_gbps,alpha,latency_kernel_ms,noc_bytes_mb,noc_bytes_source,t_noc_ms,latency_e2e_ms_upper,latency_e2e_ms_lower,throughput_img_s_upper,throughput_img_s_lower
baseline_swin,swin_t,32.0,0.3,1.87269,71.91807764053345,trace,2.3566115681250004,4.229301568125001,1.87269,236.44565985473943,533.9912105046751
baseline_swin,swin_t,32.0,0.5,1.87269,71.91807764053345,trace,2.3566115681250004,4.229301568125001,1.87269,236.44565985473943,533.9912105046751
baseline_swin,swin_t,32.0,1.0,1.87269,71.91807764053345,trace,2.3566115681250004,4.229301568125001,2.3566115681250004,236.44565985473943,424.3380680659366
baseline_swin,swin_t,64.0,0.3,1.87269,71.91807764053345,trace,1.1783057840625002,3.0509957840625,1.87269,327.76184261666447,533.9912105046751
baseline_swin,swin_t,64.0,0.5,1.87269,71.91807764053345,trace,1.1783057840625002,3.0509957840625,1.87269,327.76184261666447,533.9912105046751
baseline_swin,swin_t,64.0,1.0,1.87269,71.91807764053345,trace,1.1783057840625002,3.0509957840625,1.87269,327.76184261666447,533.9912105046751
baseline_swin,swin_t,128.0,0.3,1.87269,71.91807764053345,trace,0.5891528920312501,2.46184289203125,1.87269,406.19976328989327,533.9912105046751
baseline_swin,swin_t,128.0,0.5,1.87269,71.91807764053345,trace,0.5891528920312501,2.46184289203125,1.87269,406.19976328989327,533.9912105046751
baseline_swin,swin_t,128.0,1.0,1.87269,71.91807764053345,trace,0.5891528920312501,2.46184289203125,1.87269,406.19976328989327,533.9912105046751
baseline_swin,swin_t,256.0,0.3,1.87269,71.91807764053345,trace,0.29457644601562505,2.167266446015625,1.87269,461.4107332480662,533.9912105046751
baseline_swin,swin_t,256.0,0.5,1.87269,71.91807764053345,trace,0.29457644601562505,2.167266446015625,1.87269,461.4107332480662,533.9912105046751
baseline_swin,swin_t,256.0,1.0,1.87269,71.91807764053345,trace,0.29457644601562505,2.167266446015625,1.87269,461.4107332480662,533.9912105046751
best_accuracy_swin,swin_t,32.0,0.3,1.87269,71.91807764053345,scaled,2.3566115681250004,4.229301568125001,1.87269,236.44565985473943,533.9912105046751
best_accuracy_swin,swin_t,32.0,0.5,1.87269,71.91807764053345,scaled,2.3566115681250004,4.229301568125001,1.87269,236.44565985473943,533.9912105046751
best_accuracy_swin,swin_t,32.0,1.0,1.87269,71.91807764053345,scaled,2.3566115681250004,4.229301568125001,2.3566115681250004,236.44565985473943,424.3380680659366
best_accuracy_swin,swin_t,64.0,0.3,1.87269,71.91807764053345,scaled,1.1783057840625002,3.0509957840625,1.87269,327.76184261666447,533.9912105046751
best_accuracy_swin,swin_t,64.0,0.5,1.87269,71.91807764053345,scaled,1.1783057840625002,3.0509957840625,1.87269,327.76184261666447,533.9912105046751
best_accuracy_swin,swin_t,64.0,1.0,1.87269,71.91807764053345,scaled,1.1783057840625002,3.0509957840625,1.87269,327.76184261666447,533.9912105046751
best_accuracy_swin,swin_t,128.0,0.3,1.87269,71.91807764053345,scaled,0.5891528920312501,2.46184289203125,1.87269,406.19976328989327,533.9912105046751
best_accuracy_swin,swin_t,128.0,0.5,1.87269,71.91807764053345,scaled,0.5891528920312501,2.46184289203125,1.87269,406.19976328989327,533.9912105046751
best_accuracy_swin,swin_t,128.0,1.0,1.87269,71.91807764053345,scaled,0.5891528920312501,2.46184289203125,1.87269,406.19976328989327,533.9912105046751
best_accuracy_swin,swin_t,256.0,0.3,1.87269,71.91807764053345,scaled,0.29457644601562505,2.167266446015625,1.87269,461.4107332480662,533.9912105046751
best_accuracy_swin,swin_t,256.0,0.5,1.87269,71.91807764053345,scaled,0.29457644601562505,2.167266446015625,1.87269,461.4107332480662,533.9912105046751
best_accuracy_swin,swin_t,256.0,1.0,1.87269,71.91807764053345,scaled,0.29457644601562505,2.167266446015625,1.87269,461.4107332480662,533.9912105046751
mapping_swin,swin_t,32.0,0.3,1.87269,61.130365994453435,scaled,2.0031198329062505,3.8758098329062505,1.87269,258.0105947174804,533.9912105046751
mapping_swin,swin_t,32.0,0.5,1.87269,61.130365994453435,scaled,2.0031198329062505,3.8758098329062505,1.87269,258.0105947174804,533.9912105046751
mapping_swin,swin_t,32.0,1.0,1.87269,61.130365994453435,scaled,2.0031198329062505,3.8758098329062505,2.0031198329062505,258.0105947174804,499.2212565481607
mapping_swin,swin_t,64.0,0.3,1.87269,61.130365994453435,scaled,1.0015599164531253,2.874249916453125,1.87269,347.9168579863847,533.9912105046751
mapping_swin,swin_t,64.0,0.5,1.87269,61.130365994453435,scaled,1.0015599164531253,2.874249916453125,1.87269,347.9168579863847,533.9912105046751
mapping_swin,swin_t,64.0,1.0,1.87269,61.130365994453435,scaled,1.0015599164531253,2.874249916453125,1.87269,347.9168579863847,533.9912105046751
mapping_swin,swin_t,128.0,0.3,1.87269,61.130365994453435,scaled,0.5007799582265626,2.3734699582265626,1.87269,421.3240603842283,533.9912105046751
mapping_swin,swin_t,128.0,0.5,1.87269,61.130365994453435,scaled,0.5007799582265626,2.3734699582265626,1.87269,421.3240603842283,533.9912105046751
mapping_swin,swin_t,128.0,1.0,1.87269,61.130365994453435,scaled,0.5007799582265626,2.3734699582265626,1.87269,421.3240603842283,533.9912105046751
mapping_swin,swin_t,256.0,0.3,1.87269,61.130365994453435,scaled,0.2503899791132813,2.1230799791132813,1.87269,471.01381475871517,533.9912105046751
mapping_swin,swin_t,256.0,0.5,1.87269,61.130365994453435,scaled,0.2503899791132813,2.1230799791132813,1.87269,471.01381475871517,533.9912105046751
mapping_swin,swin_t,256.0,1.0,1.87269,61.130365994453435,scaled,0.2503899791132813,2.1230799791132813,1.87269,471.01381475871517,533.9912105046751
full_opt_swin,swin_t,32.0,0.3,1.87269,59.90775867456436,scaled,1.9630574362481252,3.835747436248125,1.87269,260.7053818376879,533.9912105046751
full_opt_swin,swin_t,32.0,0.5,1.87269,59.90775867456436,scaled,1.9630574362481252,3.835747436248125,1.87269,260.7053818376879,533.9912105046751
full_opt_swin,swin_t,32.0,1.0,1.87269,59.90775867456436,scaled,1.9630574362481252,3.835747436248125,1.9630574362481252,260.7053818376879,509.40944545730684
full_opt_swin,swin_t,64.0,0.3,1.87269,59.90775867456436,scaled,0.9815287181240626,2.854218718124063,1.87269,350.35857401189304,533.9912105046751
full_opt_swin,swin_t,64.0,0.5,1.87269,59.90775867456436,scaled,0.9815287181240626,2.854218718124063,1.87269,350.35857401189304,533.9912105046751
full_opt_swin,swin_t,64.0,1.0,1.87269,59.90775867456436,scaled,0.9815287181240626,2.854218718124063,1.87269,350.35857401189304,533.9912105046751
full_opt_swin,swin_t,128.0,0.3,1.87269,59.90775867456436,scaled,0.4907643590620313,2.363454359062031,1.87269,423.10950332752077,533.9912105046751
full_opt_swin,swin_t,128.0,0.5,1.87269,59.90775867456436,scaled,0.4907643590620313,2.363454359062031,1.87269,423.10950332752077,533.9912105046751
full_opt_swin,swin_t,128.0,1.0,1.87269,59.90775867456436,scaled,0.4907643590620313,2.363454359062031,1.87269,423.10950332752077,533.9912105046751
full_opt_swin,swin_t,256.0,0.3,1.87269,59.90775867456436,scaled,0.24538217953101565,2.1180721795310156,1.87269,472.1274419559301,533.9912105046751
full_opt_swin,swin_t,256.0,0.5,1.87269,59.90775867456436,scaled,0.24538217953101565,2.1180721795310156,1.87269,472.1274419559301,533.9912105046751
full_opt_swin,swin_t,256.0,1.0,1.87269,59.90775867456436,scaled,0.24538217953101565,2.1180721795310156,1.87269,472.1274419559301,533.9912105046751
