config_id,architecture,mapping,precision,attention,accuracy,latency_s,is_pareto
vit_b_conventional_conservative_qkt_only,vit_b,conventional,conservative,qkt_only,89.0625,48.53356885910034,False
vit_b_architecture_aware_aggressive_softmax_only,vit_b,architecture_aware,aggressive,softmax_only,89.0625,48.71078538894653,False
vit_b_architecture_aware_balanced_all,vit_b,architecture_aware,balanced,all,89.0625,48.72659873962402,False
vit_b_conventional_conservative_all,vit_b,conventional,conservative,all,89.0625,48.789069175720215,False
vit_b_conventional_balanced_softmax_only,vit_b,conventional,balanced,softmax_only,89.0625,49.366450786590576,False
vit_b_conventional_balanced_all,vit_b,conventional,balanced,all,89.0625,49.7220721244812,False
vit_b_architecture_aware_conservative_softmax_only,vit_b,architecture_aware,conservative,softmax_only,89.0625,49.86896586418152,False
vit_b_architecture_aware_conservative_qkt_only,vit_b,architecture_aware,conservative,qkt_only,89.0625,49.9573872089386,False
vit_b_architecture_aware_aggressive_all,vit_b,architecture_aware,aggressive,all,89.0625,50.08998513221741,False
swin_t_architecture_aware_standard_none,swin_t,architecture_aware,standard,none,87.5,27.606323957443237,False
swin_t_conventional_standard_none,swin_t,conventional,standard,none,87.5,27.633715867996216,False
