config_id,model,layer_id,read_latency_ns,read_dynamic_energy_pj,buffer_latency_ns,ic_latency_ns,buffer_dynamic_energy_pj,ic_dynamic_energy_pj,leakage_power_uw
mapping_swin,swin_t,37,74283.5,398595.0,39886.0,32159.7,3156.54,150990.0,18.1046
mapping_swin,swin_t,38,141227.0,39293600.0,77267.7,36724.0,63422.7,2128840.0,191.25
mapping_swin,swin_t,39,237638.0,25677100.0,128886.0,64685.9,66332.5,1467700.0,98.7607
mapping_swin,swin_t,40,51800.8,1813210.0,36380.2,8898.32,7672.58,536517.0,63.969
mapping_swin,swin_t,41,74283.5,392572.0,39886.0,32159.7,3156.54,150990.0,18.1046
mapping_swin,swin_t,42,141227.0,38444100.0,77267.7,36724.0,63422.7,2128840.0,191.25
mapping_swin,swin_t,43,237638.0,25370100.0,128886.0,64685.9,66332.5,1467700.0,98.7607
mapping_swin,swin_t,44,60661.9,24261600.0,32554.1,16173.3,32571.3,629572.0,218.901
mapping_swin,swin_t,45,51800.8,1822020.0,36380.2,8898.32,7672.58,536517.0,63.969
mapping_swin,swin_t,46,80697.8,639059.0,43242.8,32981.7,3334.99,163547.0,18.04
mapping_swin,swin_t,47,58631.1,38021900.0,28993.2,15867.3,56480.9,1340430.0,400.747
mapping_swin,swin_t,48,66147.5,22719500.0,33889.4,20323.6,51426.5,966275.0,327.357
mapping_swin,swin_t,49,51800.8,1836170.0,36380.2,8898.32,7672.58,536517.0,63.969
mapping_swin,swin_t,50,80697.8,645062.0,43242.8,32981.7,3334.99,163547.0,18.04
mapping_swin,swin_t,51,58631.1,46523100.0,28993.2,15867.3,56480.9,1340430.0,400.747
mapping_swin,swin_t,52,64865.0,19094000.0,33388.7,18853.3,51018.7,869723.0,327.59
mapping_swin,swin_t,53,850.012,160739.0,423.267,249.831,283.128,7391.18,137.837
